Country,Code,Year,Month,Economic (GDP) growth percent,Industrial production annual percent change,Retail sales Y-on-Y,House price index,Building permits,Real residential property prices Y-on-Y percent change,Business confidence survey
Ukraine,UKR,2011,11,,6.4,10.8,,,,
Ukraine,UKR,2011,12,5.1,3.6,12.3,,,,
Ukraine,UKR,2012,1,,2.4,12.3,,,,
Ukraine,UKR,2012,2,,3.1,14,,,,
Ukraine,UKR,2012,3,2.4,0.3,12.7,,,,
Ukraine,UKR,2012,4,,1.3,14.9,,,,
Ukraine,UKR,2012,5,,3,15.9,,,,
Ukraine,UKR,2012,6,3,0.1,15.3,,,,
Ukraine,UKR,2012,7,,1.6,12.9,,,,
Ukraine,UKR,2012,8,,-2,10.6,,,,
Ukraine,UKR,2012,9,-1.3,-3.9,10.9,,,,
Ukraine,UKR,2012,10,,-2.5,12.9,,,,
Ukraine,UKR,2012,11,,-2.1,12.4,,,,
Ukraine,UKR,2012,12,-2.4,-5.6,9.9,,,,
Ukraine,UKR,2013,1,,-3.2,12,,,,
Ukraine,UKR,2013,2,,-5.6,11.2,,,,
Ukraine,UKR,2013,3,-1.3,-4.6,9.4,,,,
Ukraine,UKR,2013,4,,-1.7,9.7,,,,
Ukraine,UKR,2013,5,,-8.6,5.3,,,,
Ukraine,UKR,2013,6,-1.2,-5.4,3.7,,,,
Ukraine,UKR,2013,7,,-4.1,3.9,,,,
Ukraine,UKR,2013,8,,-4.7,6.7,,,,
Ukraine,UKR,2013,9,-1.1,-4.9,2.5,,,,
Ukraine,UKR,2013,10,,-4.2,1.2,,,,
Ukraine,UKR,2013,11,,-4,2.2,,,,
Ukraine,UKR,2013,12,-3.4,0,5.4,,,,
Ukraine,UKR,2014,1,,-4.2,5.2,,,,
Ukraine,UKR,2014,2,,-3,4.6,,,,
Ukraine,UKR,2014,3,-1,-5.8,0.5,,,,
Ukraine,UKR,2014,4,,-5.2,-5,,,,
Ukraine,UKR,2014,5,,-1.4,-7.7,,,,
Ukraine,UKR,2014,6,-4.3,-4.4,-9.3,,,,
Ukraine,UKR,2014,7,,-11.4,-10,,,,
Ukraine,UKR,2014,8,,-20,-17.1,,,,
Ukraine,UKR,2014,9,-5.3,-15.5,-10.9,,,,
Ukraine,UKR,2014,10,,-15.6,-13.1,,,,
Ukraine,UKR,2014,11,,-15.6,-17.9,,,,
Ukraine,UKR,2014,12,-14.4,-17.1,-18.6,,,,
Ukraine,UKR,2015,1,,-20,-23.6,,,,
Ukraine,UKR,2015,2,,-21.4,-21.8,,,,
Ukraine,UKR,2015,3,-16,-20.1,-31.3,,,,
Ukraine,UKR,2015,4,,-20.9,-29.6,,,,
Ukraine,UKR,2015,5,,-20,-25.8,,,,
Ukraine,UKR,2015,6,-14.5,-17.4,-24,,,,
Ukraine,UKR,2015,7,,-12.7,-22.1,,,,
Ukraine,UKR,2015,8,,-4.8,-18.8,,,,
Ukraine,UKR,2015,9,-7,-4.4,-16.3,,,,
Ukraine,UKR,2015,10,,-4.7,-18.3,,,,
Ukraine,UKR,2015,11,,-4.3,-16.4,,,,
Ukraine,UKR,2015,12,-2.4,-10.5,-12.9,,,,
Ukraine,UKR,2016,1,,-1,0.1,,,,
Ukraine,UKR,2016,2,,8.6,-1.5,,,,
Ukraine,UKR,2016,3,0.1,5.8,13.4,,,,
Ukraine,UKR,2016,4,,4.5,12.2,,,,
Ukraine,UKR,2016,5,,1,4.4,,,,
Ukraine,UKR,2016,6,1.7,-2.9,5,,,,
Ukraine,UKR,2016,7,,0.5,4.5,,,,
Ukraine,UKR,2016,8,,4,5.2,,,,
Ukraine,UKR,2016,9,2.7,2.5,4.1,,,,
Ukraine,UKR,2016,10,,1.6,0.9,,,,
Ukraine,UKR,2016,11,,4.1,3.8,,,,
Ukraine,UKR,2016,12,4.6,5,3.9,,,,
Ukraine,UKR,2017,1,,6.4,2.9,,,,
Ukraine,UKR,2017,2,,-3.6,-1.8,,,,
Ukraine,UKR,2017,3,2.8,-1.8,8.8,,,,-10.99
Ukraine,UKR,2017,4,,-5.1,6.1,,,,
Ukraine,UKR,2017,5,,2.1,10.7,,,,
Ukraine,UKR,2017,6,2.7,4.8,9,,,,-7.18
Ukraine,UKR,2017,7,,-1.6,6.6,,,,
Ukraine,UKR,2017,8,,2.1,9.7,,,,
Ukraine,UKR,2017,9,2.3,0.5,8.2,,,,-4.01
Ukraine,UKR,2017,10,,1.4,4.4,,,,
Ukraine,UKR,2017,11,,1.1,6.8,,,,
Ukraine,UKR,2017,12,2.2,0,15.7,,,,-5.29
Ukraine,UKR,2018,1,,4.3,9.5,,,,
Ukraine,UKR,2018,2,,2.8,5.6,,,,
Ukraine,UKR,2018,3,3.3,1.7,7.6,,7223,,-4.34
Ukraine,UKR,2018,4,,3.6,7.6,,,,
Ukraine,UKR,2018,5,,3.1,4.9,,,,
Ukraine,UKR,2018,6,3.8,2.9,5.8,,7608,,-4.73
Ukraine,UKR,2018,7,,3.7,6.4,,,,
Ukraine,UKR,2018,8,,0.8,7.1,,,,
Ukraine,UKR,2018,9,2.8,-0.7,6.6,,8402,,-2.69
Ukraine,UKR,2018,10,,2,4.6,,,,
Ukraine,UKR,2018,11,,-0.4,5.2,,,,
Ukraine,UKR,2018,12,3.5,-2.8,4.5,,,,-3.38
Ukraine,UKR,2019,1,,-3.3,7,,,,
Ukraine,UKR,2019,2,,-1.8,7.9,,,,
Ukraine,UKR,2019,3,2.5,2.1,9.5,,,,-3.3
Ukraine,UKR,2019,4,,5.2,9.8,,,,
Ukraine,UKR,2019,5,,1.6,9.1,,,,
Ukraine,UKR,2019,6,4.6,-2.3,14.8,,,,-3.19
Ukraine,UKR,2019,7,,-0.2,10.1,,,,
Ukraine,UKR,2019,8,,-1.7,7.9,,,,
Ukraine,UKR,2019,9,4.2,-1.1,9.9,,,,-1.14
Ukraine,UKR,2019,10,,,12.2,,,,
Ukraine,UKR,2019,11,,,,,,,
Ukraine,UKR,2019,12,,,,,,,-2.49
